H2H3encountersWins,3AllWins,3Wins,H2H3encountersLosses,3AllLosses,3Losses,H2H3encountersDraws,3AllDraws,3Draws,3FTGoals,3HTGoals,3Shots,3ShotsOnTarget,3Corners,3Fouls,3Yellows,3Reds,PtsDiff,result,BetResult
0.5,0.5,0.666666667,0.5,0.666666667,0.5,0,0.333333333,0.333333333,0.555555556,0.642857143,0.531914894,0.535211268,0.578125,0.4625,0.45,0.333333333,0.530999919,H,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.5,0,0.5,0.333333333,0.444444444,0.571428571,0.489361702,0.577464789,0.375,0.4125,0.35,0.5,0.41904454,D,A
0.666666667,0.5,0.666666667,0.333333333,0.666666667,0.5,0,0.333333333,0.333333333,0.407407407,0.571428571,0.478723404,0.507042254,0.484375,0.4,0.45,0.5,0.581278797,D,H
0.5,0.666666667,0.833333333,0.5,0.5,0.333333333,0,0.333333333,0.333333333,0.518518519,0.357142857,0.574468085,0.633802817,0.609375,0.375,0.45,0.333333333,0.50432463,D,H
0.5,0.333333333,0.5,0.5,0.666666667,0.666666667,0,0.5,0.333333333,0.444444444,0.5,0.521276596,0.563380282,0.421875,0.5125,0.5,0.5,0.505052138,A,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.333333333,0.407407407,0.5,0.446808511,0.535211268,0.515625,0.25,0.4,0.5,0.518632285,H,H
0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.444444444,0.428571429,0.563829787,0.591549296,0.484375,0.4,0.5,0.5,0.524452348,A,H
0.333333333,0.666666667,0.833333333,0.666666667,0.5,0.333333333,0,0.333333333,0.333333333,0.592592593,0.571428571,0.521276596,0.605633803,0.453125,0.4875,0.45,0.333333333,0.506749656,H,H
0.333333333,0.5,0.666666667,0.666666667,0.5,0.5,0,0.5,0.333333333,0.555555556,0.571428571,0.659574468,0.549295775,0.296875,0.3625,0.35,0.666666667,0.452024897,H,H
0.333333333,0.666666667,0.666666667,0.666666667,0.5,0.5,0,0.333333333,0.333333333,0.555555556,0.357142857,0.574468085,0.61971831,0.421875,0.35,0.2,0.5,0.558645219,A,H
0.333333333,0.666666667,0.666666667,0.666666667,0.5,0.5,0,0.333333333,0.333333333,0.481481481,0.5,0.5,0.549295775,0.34375,0.375,0.65,0.333333333,0.537385822,H,H
0.5,0.666666667,0.666666667,0.5,0.333333333,0.333333333,0,0.5,0.5,0.592592593,0.642857143,0.595744681,0.521126761,0.421875,0.35,0.55,0.5,0.577479589,D,H
0.333333333,0.5,0.666666667,0.666666667,0.5,0.333333333,0,0.5,0.5,0.62962963,0.642857143,0.531914894,0.492957746,0.3125,0.325,0.5,0.5,0.509821356,D,H
0.333333333,0.5,0.5,0.666666667,0.666666667,0.5,0,0.333333333,0.5,0.444444444,0.357142857,0.468085106,0.492957746,0.609375,0.5125,0.5,0.5,0.473930968,H,A
0.333333333,0.5,0.833333333,0.333333333,0.5,0.333333333,0.333333333,0.5,0.333333333,0.407407407,0.428571429,0.585106383,0.450704225,0.609375,0.5125,0.35,0.5,0.431978013,A,A
0.333333333,0.5,0.666666667,0.666666667,0.666666667,0.666666667,0,0.333333333,0.166666667,0.481481481,0.642857143,0.446808511,0.478873239,0.484375,0.325,0.4,0.5,0.448872363,A,H
0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.357142857,0.606382979,0.549295775,0.375,0.4375,0.35,0.5,0.524371514,A,H
0.333333333,0.666666667,0.666666667,0.666666667,0.333333333,0.5,0,0.5,0.333333333,0.666666667,0.642857143,0.414893617,0.436619718,0.4375,0.4,0.45,0.5,0.47013176,D,A
0.333333333,0.333333333,0.666666667,0.333333333,0.666666667,0.5,0.333333333,0.5,0.333333333,0.481481481,0.5,0.340425532,0.394366197,0.453125,0.4,0.45,0.5,0.375313233,H,A
0.333333333,0.333333333,0.666666667,0.333333333,0.666666667,0.5,0.333333333,0.5,0.333333333,0.296296296,0.428571429,0.5,0.563380282,0.5625,0.4,0.4,0.5,0.334330289,H,A
0.333333333,0.5,0.833333333,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.444444444,0.571428571,0.531914894,0.605633803,0.390625,0.4,0.55,0.5,0.58305715,H,H
0.5,0.5,0.666666667,0.5,0.666666667,0.666666667,0,0.333333333,0.166666667,0.407407407,0.5,0.404255319,0.464788732,0.390625,0.225,0.3,0.5,0.498666236,A,H
0.666666667,0.5,0.666666667,0.333333333,0.666666667,0.5,0,0.333333333,0.333333333,0.37037037,0.571428571,0.659574468,0.633802817,0.578125,0.3625,0.6,0.5,0.53196993,D,H
0.333333333,0.5,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.5,0.5,0.444444444,0.357142857,0.638297872,0.647887324,0.640625,0.375,0.4,0.5,0.730337079,H,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.481481481,0.5,0.680851064,0.633802817,0.59375,0.45,0.6,0.5,0.54215504,H,H
0.333333333,0.5,0.833333333,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.166666667,0.407407407,0.428571429,0.627659574,0.563380282,0.484375,0.5375,0.45,0.5,0.512812222,H,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.333333333,0.259259259,0.357142857,0.521276596,0.61971831,0.5625,0.475,0.4,0.5,0.492846173,A,A
0.666666667,0.5,0.666666667,0.333333333,0.666666667,0.5,0,0.333333333,0.333333333,0.518518519,0.428571429,0.425531915,0.450704225,0.5,0.4125,0.7,0.5,0.512812222,D,H
0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.5,0.333333333,0.333333333,0.333333333,0.407407407,0.642857143,0.489361702,0.450704225,0.453125,0.475,0.65,0.5,0.561716919,H,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.481481481,0.5,0.531914894,0.563380282,0.53125,0.4,0.6,0.666666667,0.524775685,H,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.592592593,0.571428571,0.489361702,0.521126761,0.578125,0.425,0.4,0.5,0.52736238,A,H
0.333333333,0.5,0.666666667,0.333333333,0.333333333,0.5,0.333333333,0.666666667,0.333333333,0.481481481,0.5,0.446808511,0.507042254,0.59375,0.475,0.5,0.5,0.479427694,D,A
0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.444444444,0.357142857,0.393617021,0.422535211,0.453125,0.45,0.35,0.5,0.328510226,A,A
0.666666667,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0,0.333333333,0.5,0.555555556,0.571428571,0.70212766,0.647887324,0.609375,0.4625,0.45,0.5,0.5477326,D,H
0.333333333,0.5,0.5,0.666666667,0.666666667,0.666666667,0,0.333333333,0.333333333,0.555555556,0.5,0.425531915,0.450704225,0.265625,0.475,0.5,0.5,0.254142753,D,A
0.333333333,0.333333333,0.5,0.666666667,0.666666667,0.5,0,0.5,0.5,0.444444444,0.642857143,0.553191489,0.521126761,0.453125,0.4125,0.25,0.333333333,0.519521461,H,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.407407407,0.571428571,0.425531915,0.408450704,0.453125,0.25,0.55,0.5,0.504082128,D,H
0.333333333,0.333333333,0.666666667,0.333333333,0.5,0.5,0.333333333,0.666666667,0.333333333,0.481481481,0.571428571,0.393617021,0.507042254,0.578125,0.3875,0.5,0.5,0.504082128,H,H
0.333333333,0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0,0.5,0.5,0.62962963,0.571428571,0.563829787,0.549295775,0.34375,0.2875,0.45,0.5,0.527766551,D,H
0.333333333,0.666666667,0.833333333,0.666666667,0.333333333,0.333333333,0,0.5,0.333333333,0.444444444,0.357142857,0.468085106,0.464788732,0.4375,0.425,0.55,0.5,0.721364481,H,H
0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.333333333,0.5,0.5,0.62962963,0.571428571,0.414893617,0.507042254,0.53125,0.375,0.35,0.666666667,0.505698812,A,A
0.666666667,0.5,0.666666667,0.333333333,0.666666667,0.5,0,0.333333333,0.333333333,0.592592593,0.714285714,0.531914894,0.535211268,0.4375,0.5625,0.45,0.666666667,0.442648129,H,H
0.333333333,0.333333333,0.5,0.666666667,0.666666667,0.666666667,0,0.5,0.333333333,0.444444444,0.357142857,0.521276596,0.535211268,0.640625,0.35,0.5,0.5,0.512812222,A,H
0.666666667,0.666666667,0.5,0.333333333,0.5,0.5,0,0.333333333,0.5,0.444444444,0.5,0.436170213,0.408450704,0.609375,0.2625,0.45,0.5,0.665346375,A,H
0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.5,0,0.5,0.333333333,0.518518519,0.714285714,0.638297872,0.633802817,0.5,0.375,0.5,0.5,0.563252769,H,H
0.333333333,0.666666667,0.5,0.333333333,0.5,0.5,0.333333333,0.333333333,0.5,0.37037037,0.428571429,0.414893617,0.408450704,0.4375,0.5375,0.45,0.5,0.452024897,A,A
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.481481481,0.5,0.617021277,0.676056338,0.5,0.475,0.5,0.5,0.515318083,A,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.166666667,0.444444444,0.428571429,0.5,0.478873239,0.40625,0.6,0.5,0.5,0.495432867,D,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.481481481,0.5,0.521276596,0.422535211,0.328125,0.225,0.5,0.5,0.73688465,D,H
0.333333333,0.833333333,0.666666667,0.666666667,0.333333333,0.5,0,0.333333333,0.333333333,0.592592593,0.571428571,0.468085106,0.549295775,0.53125,0.4375,0.55,0.5,0.569396168,A,H
0.666666667,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0,0.333333333,0.5,0.555555556,0.5,0.489361702,0.549295775,0.21875,0.3375,0.35,0.5,0.541508366,D,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.5,0.481481481,0.642857143,0.659574468,0.746478873,0.5625,0.4,0.5,0.5,0.50893218,D,H
0.333333333,0.333333333,0.5,0.333333333,0.666666667,0.5,0.333333333,0.5,0.5,0.481481481,0.5,0.489361702,0.436619718,0.40625,0.4625,0.4,0.666666667,0.500929593,D,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.166666667,0.481481481,0.571428571,0.436170213,0.464788732,0.296875,0.425,0.3,0.5,0.488561959,A,A
0.666666667,0.5,0.5,0.333333333,0.5,0.333333333,0,0.5,0.666666667,0.555555556,0.5,0.5,0.521126761,0.5,0.35,0.5,0.5,0.415487834,H,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.333333333,0.444444444,0.428571429,0.638297872,0.732394366,0.640625,0.4375,0.3,0.666666667,0.523482338,D,H
0.333333333,0.5,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.5,0.5,0.407407407,0.428571429,0.457446809,0.507042254,0.609375,0.45,0.7,0.5,0.478861854,D,H
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.666666667,0.642857143,0.372340426,0.591549296,0.5625,0.4875,0.6,0.5,0.443941476,A,H
0.333333333,0.666666667,0.833333333,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0.518518519,0.785714286,0.606382979,0.577464789,0.53125,0.4125,0.45,0.5,0.524452348,H,H
0.333333333,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.333333333,0.5,0.5,0.407407407,0.5,0.5,0.563380282,0.484375,0.5,0.65,0.5,0.515156414,H,H
0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.5,0,0.5,0.333333333,0.407407407,0.428571429,0.553191489,0.521126761,0.546875,0.675,0.6,0.5,0.50796217,D,H
0.333333333,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.666666667,0.5,0.481481481,0.5,0.531914894,0.507042254,0.578125,0.3625,0.55,0.5,0.486945275,D,A
0.333333333,0.333333333,0.666666667,0.666666667,0.5,0.333333333,0,0.666666667,0.5,0.444444444,0.5,0.446808511,0.436619718,0.546875,0.5375,0.6,0.5,0.554199337,H,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.5,0.333333333,0.5,0.333333333,0.518518519,0.571428571,0.64893617,0.61971831,0.59375,0.3125,0.65,0.5,0.51968313,D,H
0.5,0.666666667,0.666666667,0.5,0.333333333,0.333333333,0,0.5,0.5,0.62962963,0.357142857,0.414893617,0.577464789,0.515625,0.4,0.7,0.5,0.517904777,H,H
0.5,0.333333333,0.833333333,0.5,0.833333333,0.333333333,0,0.333333333,0.333333333,0.296296296,0.428571429,0.574468085,0.61971831,0.515625,0.475,0.5,0.5,0.519925633,A,H
0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.5,0.333333333,0.5,0.5,0.666666667,0.428571429,0.606382979,0.605633803,0.4375,0.375,0.3,0.5,0.516934767,D,H
0.333333333,0.333333333,0.833333333,0.333333333,0.666666667,0.5,0.333333333,0.5,0.166666667,0.444444444,0.571428571,0.510638298,0.492957746,0.296875,0.3625,0.5,0.5,0.48492442,A,H
0.5,0.333333333,0.333333333,0.5,0.666666667,0.666666667,0,0.5,0.5,0.444444444,0.428571429,0.510638298,0.492957746,0.59375,0.4125,0.5,0.5,0.507638833,A,H
0.333333333,0.666666667,0.666666667,0.666666667,0.5,0.666666667,0,0.333333333,0.166666667,0.555555556,0.428571429,0.276595745,0.436619718,0.359375,0.375,0.35,0.5,0.48953197,H,H
0.333333333,0.666666667,0.666666667,0.666666667,0.5,0.5,0,0.333333333,0.333333333,0.592592593,0.714285714,0.29787234,0.436619718,0.375,0.45,0.35,0.666666667,0.480478539,D,H
0.333333333,0.333333333,0.5,0.333333333,0.666666667,0.5,0.333333333,0.5,0.5,0.407407407,0.5,0.542553191,0.507042254,0.359375,0.4125,0.5,0.666666667,0.545550077,A,H
0.333333333,0.666666667,0.833333333,0.333333333,0.5,0.5,0.333333333,0.333333333,0.166666667,0.407407407,0.357142857,0.638297872,0.577464789,0.671875,0.425,0.45,0.333333333,0.486945275,H,H
0.666666667,0.5,0.5,0.333333333,0.5,0.5,0,0.5,0.5,0.481481481,0.571428571,0.595744681,0.661971831,0.390625,0.5375,0.6,0.666666667,0.504082128,H,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.592592593,0.571428571,0.35106383,0.38028169,0.546875,0.45,0.35,0.5,0.634386873,H,H
0.333333333,0.333333333,0.5,0.666666667,0.5,0.5,0,0.666666667,0.5,0.444444444,0.428571429,0.659574468,0.605633803,0.671875,0.3125,0.45,0.5,0.482822731,H,H
0.5,0.666666667,0.666666667,0.5,0.5,0.166666667,0,0.333333333,0.666666667,0.592592593,0.571428571,0.457446809,0.450704225,0.421875,0.4625,0.5,0.5,0.512812222,D,H
0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.5,0,0.5,0.333333333,0.37037037,0.428571429,0.521276596,0.422535211,0.359375,0.425,0.7,0.5,0.621372565,D,H
0.666666667,0.333333333,0.5,0.333333333,0.666666667,0.5,0,0.5,0.5,0.444444444,0.642857143,0.70212766,0.563380282,0.53125,0.5875,0.5,0.5,0.436100558,D,H
0.333333333,0.5,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.666666667,0.5,0.518518519,0.571428571,0.457446809,0.507042254,0.453125,0.4,0.6,0.5,0.66219384,H,H
0.666666667,0.666666667,0.833333333,0.333333333,0.333333333,0.5,0,0.5,0.166666667,0.62962963,0.571428571,0.638297872,0.647887324,0.59375,0.4625,0.45,0.5,0.67965403,H,H
0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.5,0.259259259,0.357142857,0.446808511,0.422535211,0.34375,0.4875,0.4,0.5,0.528089888,H,H
0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.333333333,0.5,0.666666667,0.555555556,0.571428571,0.457446809,0.422535211,0.453125,0.35,0.4,0.333333333,0.520248969,H,H
0.333333333,0.5,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.5,0.5,0.407407407,0.357142857,0.723404255,0.633802817,0.59375,0.325,0.5,0.666666667,0.537466656,D,H
0.333333333,0.5,1,0.666666667,0.666666667,0.333333333,0,0.333333333,0.166666667,0.481481481,0.5,0.595744681,0.535211268,0.65625,0.3625,0.35,0.5,0.7169186,H,H
0.5,0.333333333,0.666666667,0.5,0.666666667,0.5,0,0.5,0.333333333,0.444444444,0.428571429,0.510638298,0.464788732,0.421875,0.7625,0.7,0.5,0.533182443,D,H
0.333333333,0.333333333,0.5,0.666666667,0.833333333,0.5,0,0.333333333,0.5,0.444444444,0.428571429,0.585106383,0.563380282,0.546875,0.275,0.55,0.5,0.416053674,D,A
0.333333333,0.666666667,0.5,0.333333333,0.333333333,0.5,0.333333333,0.5,0.5,0.703703704,0.571428571,0.638297872,0.633802817,0.625,0.3875,0.4,0.5,0.515803088,H,H
0.666666667,0.333333333,0.833333333,0.333333333,0.5,0.333333333,0,0.666666667,0.333333333,0.518518519,0.571428571,0.361702128,0.535211268,0.4375,0.375,0.35,0.333333333,0.563171934,H,H
0.5,0.666666667,0.666666667,0.5,0.666666667,0.333333333,0,0.166666667,0.5,0.518518519,0.5,0.308510638,0.323943662,0.421875,0.425,0.6,0.5,0.515156414,A,H
0.333333333,0.5,0.5,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.666666667,0.518518519,0.428571429,0.585106383,0.605633803,0.421875,0.4125,0.55,0.5,0.526069032,D,H
0.333333333,0.333333333,0.5,0.666666667,0.5,0.5,0,0.666666667,0.5,0.444444444,0.357142857,0.372340426,0.323943662,0.53125,0.4625,0.35,0.5,0.483307736,H,H
0.333333333,0.666666667,0.833333333,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.333333333,0.703703704,0.571428571,0.585106383,0.549295775,0.609375,0.4625,0.6,0.5,0.52372484,H,H
0.666666667,0.333333333,0.5,0.333333333,0.833333333,0.5,0,0.333333333,0.5,0.481481481,0.5,0.574468085,0.521126761,0.390625,0.5625,0.5,0.5,0.491876162,H,A
0.333333333,0.666666667,0.833333333,0.333333333,0.5,0.166666667,0.333333333,0.333333333,0.5,0.518518519,0.571428571,0.595744681,0.563380282,0.578125,0.275,0.4,0.5,0.739148007,H,H
0.666666667,0.666666667,0.833333333,0.333333333,0.5,0.333333333,0,0.333333333,0.333333333,0.62962963,0.428571429,0.734042553,0.732394366,0.546875,0.2875,0.3,0.5,0.532212432,H,H
0.5,0.5,0.666666667,0.5,0.5,0.333333333,0,0.5,0.5,0.444444444,0.428571429,0.457446809,0.563380282,0.4375,0.45,0.3,0,0.501899604,H,H
0.333333333,0.333333333,0.5,0.666666667,0.5,0.5,0,0.666666667,0.5,0.407407407,0.428571429,0.382978723,0.366197183,0.46875,0.6,0.5,0.5,0.373777383,A,A
0.333333333,0.5,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.5,0.5,0.407407407,0.571428571,0.329787234,0.450704225,0.3125,0.5,0.65,0.333333333,0.504809635,A,H
0.333333333,0.5,0.5,0.666666667,0.5,0.333333333,0,0.5,0.666666667,0.444444444,0.357142857,0.372340426,0.352112676,0.359375,0.3875,0.4,0.5,0.313879234,D,A
0.333333333,0.5,0.833333333,0.333333333,0.666666667,0.166666667,0.333333333,0.333333333,0.5,0.407407407,0.357142857,0.64893617,0.605633803,0.5,0.425,0.35,0.5,0.585643844,D,H
0.333333333,0.5,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.5,0.5,0.444444444,0.5,0.531914894,0.450704225,0.140625,0.5375,0.55,0.333333333,0.53908334,A,A
0.333333333,0.5,0.5,0.666666667,0.5,0.5,0,0.5,0.5,0.592592593,0.642857143,0.35106383,0.436619718,0.34375,0.5125,0.65,0.666666667,0.4399806,A,A
0.5,0.5,0.833333333,0.5,0.5,0.166666667,0,0.5,0.5,0.37037037,0.285714286,0.361702128,0.436619718,0.4375,0.4625,0.6,0.5,0.514509741,D,A
0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.666666667,0,0.5,0.166666667,0.481481481,0.5,0.595744681,0.676056338,0.609375,0.3875,0.3,0.666666667,0.567375313,D,H
0.666666667,0.5,0.833333333,0.333333333,0.5,0.166666667,0,0.5,0.5,0.481481481,0.5,0.425531915,0.535211268,0.421875,0.2,0.5,0.5,0.613450812,H,H
0.333333333,0.5,0.833333333,0.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.444444444,0.428571429,0.361702128,0.450704225,0.171875,0.4125,0.5,0.5,0.419448711,H,H
0.333333333,0.5,0.833333333,0.666666667,0.5,0.166666667,0,0.5,0.5,0.481481481,0.214285714,0.627659574,0.577464789,0.515625,0.3,0.45,0.5,0.851588392,H,H
0.333333333,0.5,1,0.666666667,0.5,0.166666667,0,0.5,0.333333333,0.518518519,0.642857143,0.531914894,0.563380282,0.375,0.4875,0.5,0.5,0.670843101,H,H
0.333333333,0.666666667,0.666666667,0.666666667,0.5,0.333333333,0,0.333333333,0.5,0.62962963,0.642857143,0.489361702,0.450704225,0.484375,0.4625,0.8,0.5,0.522512327,D,H
0.666666667,0.333333333,0.666666667,0.333333333,0.5,0.333333333,0,0.666666667,0.5,0.481481481,0.642857143,0.542553191,0.61971831,0.71875,0.425,0.45,0.333333333,0.505456309,D,H
0.333333333,0.333333333,0.5,0.333333333,0.5,0.666666667,0.333333333,0.666666667,0.333333333,0.481481481,0.357142857,0.595744681,0.661971831,0.359375,0.3375,0.35,0.5,0.499878749,D,H
0.333333333,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.666666667,0.5,0.444444444,0.357142857,0.606382979,0.61971831,0.53125,0.4625,0.5,0.666666667,0.434241371,A,H
0.666666667,0.666666667,0.666666667,0.333333333,0.5,0.666666667,0,0.333333333,0.166666667,0.666666667,0.5,0.680851064,0.76056338,0.59375,0.4875,0.55,0.5,0.676339827,H,H
0.5,0.666666667,0.833333333,0.5,0.5,0.166666667,0,0.333333333,0.5,0.481481481,0.571428571,0.329787234,0.323943662,0.296875,0.4625,0.5,0.5,0.508608843,A,H
0.666666667,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0,0.5,0.5,0.666666667,0.714285714,0.404255319,0.492957746,0.328125,0.4375,0.4,0.333333333,0.514348072,A,H
0.333333333,0.5,0.5,0.666666667,0.5,0.333333333,0,0.5,0.666666667,0.444444444,0.571428571,0.468085106,0.492957746,0.25,0.4625,0.45,0.666666667,0.431331339,A,A
0.333333333,0.5,0.833333333,0.666666667,0.5,0.166666667,0,0.5,0.5,0.407407407,0.428571429,0.361702128,0.408450704,0.4375,0.3875,0.65,0.5,0.576186242,A,H
0.333333333,0.5,0.5,0.666666667,0.5,0.333333333,0,0.5,0.666666667,0.37037037,0.428571429,0.329787234,0.338028169,0.421875,0.3375,0.5,0.5,0.570285345,D,H
0.333333333,0.666666667,0.833333333,0.333333333,0.666666667,0.333333333,0.333333333,0.166666667,0.333333333,0.444444444,0.714285714,0.404255319,0.464788732,0.359375,0.375,0.45,0.5,0.377253254,H,H
0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0.333333333,0.333333333,0.5,0.444444444,0.714285714,0.510638298,0.478873239,0.5625,0.55,0.65,0.666666667,0.536819982,D,H
0.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.5,0.5,0.518518519,0.571428571,0.712765957,0.718309859,0.65625,0.2375,0.45,0.5,0.608843262,H,H
0.333333333,0.5,0.5,0.666666667,0.666666667,0.833333333,0,0.333333333,0.166666667,0.37037037,0.428571429,0.5,0.492957746,0.53125,0.575,0.3,0.5,0.511923046,D,H
0.333333333,0.333333333,0.5,0.333333333,0.5,0.5,0.333333333,0.666666667,0.5,0.481481481,0.428571429,0.404255319,0.521126761,0.390625,0.55,0.65,0.5,0.501414599,A,A
0.666666667,0.5,0.666666667,0.333333333,0.5,0.333333333,0,0.5,0.5,0.444444444,0.428571429,0.234042553,0.253521127,0.34375,0.4375,0.5,0.5,0.491471991,H,H
0.5,0.5,0.666666667,0.5,0.5,0.5,0,0.5,0.333333333,0.296296296,0.214285714,0.223404255,0.281690141,0.359375,0.425,0.45,0.333333333,0.507234662,H,A
0.333333333,0.5,0.5,0.333333333,0.5,0.333333333,0.333333333,0.5,0.666666667,0.481481481,0.428571429,0.468085106,0.507042254,0.28125,0.4875,0.45,0.666666667,0.506264651,H,A
0.333333333,0.333333333,0.5,0.333333333,0.666666667,0.666666667,0.333333333,0.5,0.333333333,0.444444444,0.5,0.404255319,0.394366197,0.265625,0.4125,0.6,0.333333333,0.597283971,H,H
0.333333333,0.333333333,0.5,0.333333333,0.833333333,0.5,0.333333333,0.333333333,0.5,0.333333333,0.357142857,0.489361702,0.478873239,0.390625,0.3375,0.5,0.5,0.455824105,A,H
0.666666667,0.833333333,0.833333333,0.333333333,0.333333333,0.333333333,0,0.333333333,0.333333333,0.518518519,0.571428571,0.393617021,0.492957746,0.328125,0.475,0.45,0.5,0.571740361,D,H
